PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Zhang, Weidong; Zhuang, Houlong L.; Fan, Lei; Gao, Lina; Lu, Yingying								A "cation-anion regulation" synergistic anode host for dendrite-free lithium metal batteries								SCIENCE ADVANCES				4	2					eaar4410	10.1126/sciadv.aar4410			FEB 2018	2018										20							WOS:000426845500070		
J	Wang, Yang; Hasegawa, Tsukasa; Matsumoto, Hidetoshi; Mori, Takehiko; Michinobu, Tsuyoshi								High-Performance n-Channel Organic Transistors Using High-Molecular-Weight Electron-Deficient Copolymers and Amine-Tailed Self-Assembled Monolayers								ADVANCED MATERIALS				30	13					1707164	10.1002/adma.201707164			MAR 27 2018	2018										19							WOS:000428793600029		
J	Fong, Darryl; Adronov, Alex								Recent developments in the selective dispersion of single-walled carbon nanotubes using conjugated polymers								CHEMICAL SCIENCE				8	11			7292	7305		10.1039/c7sc02942j			NOV 1 2017	2017										19							WOS:000413532800001		
J	An, Yongling; Zhang, Zhen; Fei, Huifang; Xu, Xiaoyan; Xiong, Shenglin; Feng, Jinkui; Ci, Lijie								Lithium metal protection enabled by in-situ olefin polymerization for high-performance secondary lithium sulfur batteries								JOURNAL OF POWER SOURCES				363				193	198		10.1016/j.jpowsour.2017.07.101			SEP 30 2017	2017										19							WOS:000411544300024		
J	Blackburn, Jeffrey L.								Semiconducting Single-Walled Carbon Nanotubes in Solar Energy Harvesting								ACS ENERGY LETTERS				2	7			1598	1613		10.1021/acsenergylett.7b00228			JUL 2017	2017										19							WOS:000405979900018		
J	Zhang, Huimin; Liao, Xiaobin; Guan, Yuepeng; Xiang, Yu; Li, Meng; Zhang, Wenfeng; Zhu, Xiayu; Ming, Hai; Lu, Lin; Qiu, Jingyi; Huang, Yaqin; Cao, Gaoping; Yang, Yusheng; Mai, Liqiang; Zhao, Yan; Zhang, Hao								Lithiophilic-lithiophobic gradient interfacial layer for a highly stable lithium metal anode								NATURE COMMUNICATIONS				9						3729	10.1038/s41467-018-06126-z			SEP 13 2018	2018										18							WOS:000444494800013		
J	Cao, Peng-Fei; Li, Bingrui; Hong, Tao; Townsend, Jacob; Qiang, Zhe; Xing, Kunyue; Vogiatzis, Konstantinos D.; Wang, Yangyang; Mays, Jimmy W.; Sokolov, Alexei P.; Saito, Tomonori								Superstretchable, Self-Healing Polymeric Elastomers with Tunable Properties								ADVANCED FUNCTIONAL MATERIALS				28	22					1800741	10.1002/adfm.201800741			MAY 30 2018	2018										18							WOS:000434030800016		
J	Liu, S. F.; Wang, X. L.; Xie, D.; Xia, X. H.; Gu, C. D.; Wu, J. B.; Tu, J. P.								Recent development in lithium metal anodes of liquid-state rechargeable batteries								JOURNAL OF ALLOYS AND COMPOUNDS				730				135	149		10.1016/j.jallcom.2017.09.204			JAN 5 2018	2018										18							WOS:000414166200020		
J	Yan, Chong; Cheng, Xin-Bing; Yao, Yu-Xing; Shen, Xin; Li, Bo-Quan; Li, Wen-Jun; Zhang, Rui; Huang, Jia-Qi; Li, Hong; Zhang, Qiang								An Armored Mixed Conductor Interphase on a Dendrite-Free Lithium-Metal Anode								ADVANCED MATERIALS				30	45					1804461	10.1002/adma.201804461			NOV 2018	2018										17							WOS:000449819500030		
J	Zhang, Guangzhao; Yang, Yu; Chen, Yunhua; Huang, Jun; Zhang, Tian; Zeng, Hongbo; Wang, Chaoyang; Liu, Gao; Deng, Yonghong								A Quadruple-Hydrogen-Bonded Supramolecular Binder for High-Performance Silicon Anodes in Lithium-Ion Batteries								SMALL				14	29					1801189	10.1002/smll.201801189			JUL 19 2018	2018										17							WOS:000439876000007		
