PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Zhang, Tong; Cheng, Peng; Chen, Xi; Jia, Jin-Feng; Ma, Xucun; He, Ke; Wang, Lili; Zhang, Haijun; Dai, Xi; Fang, Zhong; Xie, Xincheng; Xue, Qi-Kun								Experimental Demonstration of Topological Surface States Protected by Time-Reversal Symmetry								PHYSICAL REVIEW LETTERS				103	26					266803	10.1103/PhysRevLett.103.266803			DEC 31 2009	2009										491							WOS:000273232200035		
J	Xu, Su-Yang; Alidoust, Nasser; Belopolski, Ilya; Yuan, Zhujun; Bian, Guang; Chang, Tay-Rong; Zheng, Hao; Strocov, Vladimir N.; Sanchez, Daniel S.; Chang, Guoqing; Zhang, Chenglong; Mou, Daixiang; Wu, Yun; Huang, Lunan; Lee, Chi-Cheng; Huang, Shin-Ming; Wang, BaoKai; Bansil, Arun; Jeng, Horng-Tay; Neupert, Titus; Kaminski, Adam; Lin, Hsin; Jia, Shuang; Hasan, M. Zahid								Discovery of a Weyl fermion state with Fermi arcs in niobium arsenide								NATURE PHYSICS				11	9			748	+		10.1038/NPHYS3437			SEP 2015	2015										476							WOS:000360709200019		
J	Kitagawa, Takuya; Berg, Erez; Rudner, Mark; Demler, Eugene								Topological characterization of periodically driven quantum systems								PHYSICAL REVIEW B				82	23					235114	10.1103/PhysRevB.82.235114			DEC 10 2010	2010										475							WOS:000286768600004		
J	Koenig, Markus; Buhmann, Hartmut; Molenkamp, Laurens W.; Hughes, Taylor; Liu, Chao-Xing; Qi, Xiao-Liang; Zhang, Shou-Cheng								The quantum spin Hall effect: Theory and experiment								JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN				77	3					031007	10.1143/JPSJ.77.031007			MAR 2008	2008										468							WOS:000254311900011		
J	Witczak-Krempa, William; Chen, Gang; Kim, Yong Baek; Balents, Leon								Correlated Quantum Phenomena in the Strong Spin-Orbit Regime								Annual Review of Condensed Matter Physics				5				57	82		10.1146/annurev-conmatphys-020911-125138			2014	2014										467							WOS:000337270800004		
J	Lv, B. Q.; Xu, N.; Weng, H. M.; Ma, J. Z.; Richard, P.; Huang, X. C.; Zhao, L. X.; Chen, G. F.; Matt, C. E.; Bisti, F.; Strocov, V. N.; Mesot, J.; Fang, Z.; Dai, X.; Qian, T.; Shi, M.; Ding, H.								Observation of Weyl nodes in TaAs								NATURE PHYSICS				11	9			724	+		10.1038/NPHYS3426			SEP 2015	2015										465							WOS:000360709200013		
J	Tanaka, Y.; Ren, Zhi; Sato, T.; Nakayama, K.; Souma, S.; Takahashi, T.; Segawa, Kouji; Ando, Yoichi								Experimental realization of a topological crystalline insulator in SnTe								NATURE PHYSICS				8	11			800	803		10.1038/NPHYS2442			NOV 2012	2012										458							WOS:000310836700017		
J	Manchon, A.; Koo, H. C.; Nitta, J.; Frolov, S. M.; Duine, R. A.								New perspectives for Rashba spin-orbit coupling								NATURE MATERIALS				14	9			871	882		10.1038/NMAT4360			SEP 2015	2015										444							WOS:000360192000018		
J	Chiu, Ching-Kai; Teo, Jeffrey C. Y.; Schnyder, Andreas P.; Ryu, Shinsei								Classification of topological quantum matter with symmetries								REVIEWS OF MODERN PHYSICS				88	3					035005	10.1103/RevModPhys.88.035005			AUG 31 2016	2016										442							WOS:000383053400001		
J	Liu, Chao-Xing; Qi, Xiao-Liang; Zhang, HaiJun; Dai, Xi; Fang, Zhong; Zhang, Shou-Cheng								Model Hamiltonian for topological insulators								PHYSICAL REVIEW B				82	4					045122	10.1103/PhysRevB.82.045122			JUL 26 2010	2010										439							WOS:000280293300004		
J	Liu, Chaoxing; Hughes, Taylor L.; Qi, Xiao-Liang; Wang, Kang; Zhang, Shou-Cheng								Quantum spin Hall effect in inverted Type-II semiconductors								PHYSICAL REVIEW LETTERS				100	23					236601	10.1103/PhysRevLett.100.236601			JUN 13 2008	2008										437							WOS:000256708100057		
J	Yang, L. X.; Liu, Z. K.; Sun, Y.; Peng, H.; Yang, H. F.; Zhang, T.; Zhou, B.; Zhang, Y.; Guo, Y. F.; Rahn, M.; Prabhakaran, D.; Hussain, Z.; Mo, S. -K.; Felser, C.; Yan, B.; Chen, Y. L.								Weyl semimetal phase in the non-centrosymmetric compound TaAs								NATURE PHYSICS				11	9			728	+		10.1038/NPHYS3425			SEP 2015	2015										436							WOS:000360709200014		
J	Essin, Andrew M.; Moore, Joel E.; Vanderbilt, David								Magnetoelectric Polarizability and Axion Electrodynamics in Crystalline Insulators								PHYSICAL REVIEW LETTERS				102	14					146805	10.1103/PhysRevLett.102.146805			APR 10 2009	2009										429							WOS:000265082500055		
J	Hoffmann, Axel								Spin Hall Effects in Metals								IEEE TRANSACTIONS ON MAGNETICS				49	10			5172	5193		10.1109/TMAG.2013.2262947			OCT 2013	2013										427							WOS:000324930200001		
J	Xiong, Jun; Kushwaha, Satya K.; Liang, Tian; Krizan, Jason W.; Hirschberger, Max; Wang, Wudi; Cava, R. J.; Ong, N. P.								Evidence for the chiral anomaly in the Dirac semimetal Na3Bi								SCIENCE				350	6259			413	416		10.1126/science.aac6089			OCT 23 2015	2015										426							WOS:000363213400034		
J	Shekhar, Chandra; Nayak, Ajaya K.; Sun, Yan; Schmidt, Marcus; Nicklas, Michael; Leermakers, Inge; Zeitler, Uli; Skourski, Yurii; Wosnitza, Jochen; Liu, Zhongkai; Chen, Yulin; Schnelle, Walter; Borrmann, Horst; Grin, Yuri; Felser, Claudia; Yan, Binghai								Extremely large magnetoresistance and ultrahigh mobility in the topological Weyl semimetal candidate NbP								NATURE PHYSICS				11	8			645	+		10.1038/NPHYS3372			AUG 2015	2015										415							WOS:000358851900016		
J	Raghu, S.; Qi, Xiao-Liang; Honerkamp, C.; Zhang, Shou-Cheng								Topological Mott insulators								PHYSICAL REVIEW LETTERS				100	15					156401	10.1103/PhysRevLett.100.156401			APR 18 2008	2008										402							WOS:000255117800048		
J	Teo, Jeffrey C. Y.; Fu, Liang; Kane, C. L.								Surface states and topological invariants in three-dimensional topological insulators: Application to Bi1-xSbx								PHYSICAL REVIEW B				78	4					045426	10.1103/PhysRevB.78.045426			JUL 2008	2008										399							WOS:000258190400106		
J	Lu, Ling; Wang, Zhiyu; Ye, Dexin; Ran, Lixin; Fu, Liang; Joannopoulos, John D.; Soljacic, Marin								Experimental observation of Weyl points								SCIENCE				349	6248			622	624		10.1126/science.aaa9273			AUG 7 2015	2015										398							WOS:000359092900036		
J	Wang, Fa; Zhai, Hui; Ran, Ying; Vishwanath, Ashvin; Lee, Dung-Hai								Functional Renormalization-Group Study of the Pairing Symmetry and Pairing Mechanism of the FeAs-Based High-Temperature Superconductor								PHYSICAL REVIEW LETTERS				102	4					047005	10.1103/PhysRevLett.102.047005			JAN 30 2009	2009										393							WOS:000262978600063		
J	Albrecht, S. M.; Higginbotham, A. P.; Madsen, M.; Kuemmeth, F.; Jespersen, T. S.; Nygard, J.; Krogstrup, P.; Marcus, C. M.								Exponential protection of zero modes in Majorana islands								NATURE				531	7593			206	+		10.1038/nature17162			MAR 10 2016	2016										392							WOS:000371665100035		
J	Armitage, N. P.; Mele, E. J.; Vishwanath, Ashvin								Weyl and Dirac semimetals in three-dimensional solids								REVIEWS OF MODERN PHYSICS				90	1					015001	10.1103/RevModPhys.90.015001			JAN 22 2018	2018										390							WOS:000423135000001		
J	Manzeli, Sajedeh; Ovchinnikov, Dmitry; Pasquier, Diego; Yazyev, Oleg V.; Kis, Andras								2D transition metal dichalcogenides								NATURE REVIEWS MATERIALS				2	8					UNSP 17033	10.1038/natrevmats.2017.33			AUG 2017	2017										385							WOS:000407547600008		
J	Lin, Hsin; Wray, L. Andrew; Xia, Yuqi; Xu, Suyang; Jia, Shuang; Cava, Robert J.; Bansil, Arun; Hasan, M. Zahid								Half-Heusler ternary compounds as new multifunctional experimental platforms for topological quantum phenomena								NATURE MATERIALS				9	7			546	549		10.1038/NMAT2771			JUL 2010	2010										382							WOS:000279014300014		
J	Sato, Masatoshi; Fujimoto, Satoshi								Topological phases of noncentrosymmetric superconductors: Edge states, Majorana fermions, and non-Abelian statistics								PHYSICAL REVIEW B				79	9					094504	10.1103/PhysRevB.79.094504			MAR 2009	2009										381							WOS:000264768200091		
