PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Bernevig, BA; Zhang, SC								Quantum spin hall effect								PHYSICAL REVIEW LETTERS				96	10					106802	10.1103/PhysRevLett.96.106802			MAR 17 2006	2006										1051							WOS:000236062800063		
J	Wunderlich, J; Kaestner, B; Sinova, J; Jungwirth, T								Experimental observation of the spin-Hall effect in a two-dimensional spin-orbit coupled semiconductor system								PHYSICAL REVIEW LETTERS				94	4					047204	10.1103/PhysRevLett.94.047204			FEB 4 2005	2005										1035							WOS:000226779000060		
J	Xu, Xiaodong; Yao, Wang; Xiao, Di; Heinz, Tony F.								Spin and pseudospins in layered transition metal dichalcogenides								NATURE PHYSICS				10	5			343	350		10.1038/NPHYS2942			MAY 2014	2014										1034							WOS:000335371200011		
J	Fert, Albert; Cros, Vincent; Sampaio, Joao								Skyrmions on the track								NATURE NANOTECHNOLOGY				8	3			152	156					MAR 2013	2013										1020							WOS:000316154900005		
J	Bramwell, ST; Gingras, MJP								Spin ice state in frustrated magnetic pyrochlore materials								SCIENCE				294	5546			1495	1501		10.1126/science.1064761			NOV 16 2001	2001										1018							WOS:000172240500039		
J	Wang, K. F.; Liu, J. -M.; Ren, Z. F.								Multiferroicity: the coupling between magnetic and polarization orders								ADVANCES IN PHYSICS				58	4			321	448		10.1080/00018730902920554			2009	2009										990							WOS:000268619700001		
J	BRANDT, EH								THE FLUX-LINE-LATTICE IN SUPERCONDUCTORS								REPORTS ON PROGRESS IN PHYSICS				58	11			1465	1594		10.1088/0034-4885/58/11/003			NOV 1995	1995										979							WOS:A1995TJ82400003		
J	Jungwirth, T.; Sinova, Jairo; Masek, J.; Kucera, J.; MacDonald, A. H.								Theory of ferromagnetic (III,Mn)V semiconductors								REVIEWS OF MODERN PHYSICS				78	3			809	864		10.1103/RevModPhys.78.809			JUL-SEP 2006	2006										971							WOS:000240875200004		
J	YOFFE, AD								LOW-DIMENSIONAL SYSTEMS - QUANTUM-SIZE EFFECTS AND ELECTRONIC-PROPERTIES OF SEMICONDUCTOR MICROCRYSTALLITES (ZERO-DIMENSIONAL SYSTEMS) AND SOME QUASI-2-DIMENSIONAL SYSTEMS								ADVANCES IN PHYSICS				42	2			173	266		10.1080/00018739300101484			MAR-APR 1993	1993										970							WOS:A1993LR80900002		
J	Mostovoy, M								Ferroelectricity in spiral magnets								PHYSICAL REVIEW LETTERS				96	6					067601	10.1103/PhysRevLett.96.067601			FEB 17 2006	2006										960							WOS:000235394100083		
J	Haldane, F. D. M.; Raghu, S.								Possible realization of directional optical waveguides in photonic crystals with broken time-reversal symmetry								PHYSICAL REVIEW LETTERS				100	1					013904	10.1103/PhysRevLett.100.013904			JAN 11 2008	2008										951							WOS:000252285500023		
J	Weng, Hongming; Fang, Chen; Fang, Zhong; Bernevig, B. Andrei; Dai, Xi								Weyl Semimetal Phase in Noncentrosymmetric Transition-Metal Monophosphides								PHYSICAL REVIEW X				5	1					011029	10.1103/PhysRevX.5.011029			MAR 17 2015	2015										946							WOS:000351507700001		
J	Stewart, G. R.								Superconductivity in iron compounds								REVIEWS OF MODERN PHYSICS				83	4			1589	1652		10.1103/RevModPhys.83.1589			DEC 13 2011	2011										941							WOS:000298133800001		
J	SHANKAR, R								RENORMALIZATION-GROUP APPROACH TO INTERACTING FERMIONS								REVIEWS OF MODERN PHYSICS				66	1			129	192		10.1103/RevModPhys.66.129			JAN 1994	1994										937							WOS:A1994NF21000003		
J	Sergienko, IA; Dagotto, E								Role of the Dzyaloshinskii-Moriya interaction in multiferroic perovskites								PHYSICAL REVIEW B				73	9					094434	10.1103/PhysRevB.73.094434			MAR 2006	2006										933							WOS:000236467100122		
J	Hartnoll, Sean A.								Lectures on holographic methods for condensed matter physics								CLASSICAL AND QUANTUM GRAVITY				26	22					224002	10.1088/0264-9381/26/22/224002			NOV 21 2009	2009						Winter School on Strings, Supergravity and Gauge Theories	FEB 09-13, 2009	CERN; Ludwig Maximilians Univ Munich, Arnold Sommerfeld Ctr Theoret Phys	Geneva, SWITZERLAND	930							WOS:000271090100003		
J	Jackeli, G.; Khaliullin, G.								Mott Insulators in the Strong Spin-Orbit Coupling Limit: From Heisenberg to a Quantum Compass and Kitaev Models								PHYSICAL REVIEW LETTERS				102	1					017205	10.1103/PhysRevLett.102.017205			JAN 9 2009	2009										929							WOS:000262355000068		
J	Wang, Zheng; Chong, Yidong; Joannopoulos, J. D.; Soljacic, Marin								Observation of unidirectional backscattering-immune topological electromagnetic states								NATURE				461	7265			772	U20		10.1038/nature08293			OCT 8 2009	2009										917							WOS:000270547500031		
J	Tokura, Y								Critical features of colossal magnetoresistive manganites								REPORTS ON PROGRESS IN PHYSICS				69	3			797	851		10.1088/0034-4885/69/3/R06			MAR 2006	2006										912							WOS:000236697700006		
J	Yu, Rui; Zhang, Wei; Zhang, Hai-Jun; Zhang, Shou-Cheng; Dai, Xi; Fang, Zhong								Quantized Anomalous Hall Effect in Magnetic Topological Insulators								SCIENCE				329	5987			61	64		10.1126/science.1187485			JUL 2 2010	2010										901							WOS:000279402700031		
J	Bloch, Immanuel; Dalibard, Jean; Nascimbene, Sylvain								Quantum simulations with ultracold quantum gases								NATURE PHYSICS				8	4			267	276		10.1038/NPHYS2259			APR 2012	2012										896							WOS:000302557600011		
J	Valenzuela, SO; Tinkham, M								Direct electronic measurement of the spin Hall effect								NATURE				442	7099			176	179		10.1038/nature04937			JUL 13 2006	2006										881							WOS:000238979700041		
J	Beenakker, C. W. J.								Search for Majorana Fermions in Superconductors								Annual Review of Condensed Matter Physics				4				113	136		10.1146/annurev-conmatphys-030212-184337			2013	2013										861							WOS:000321694300006		
J	Naik, Gururaj V.; Shalaev, Vladimir M.; Boltasseva, Alexandra								Alternative Plasmonic Materials: Beyond Gold and Silver								ADVANCED MATERIALS				25	24			3264	3294		10.1002/adma.201205076			JUN 25 2013	2013										855							WOS:000320732000001		
J	Bauer, Gerrit E. W.; Saitoh, Eiji; van Wees, Bart J.								Spin caloritronics								NATURE MATERIALS				11	5			391	399		10.1038/NMAT3301			MAY 2012	2012										831							WOS:000303108500015		
J	Emori, Satoru; Bauer, Uwe; Ahn, Sung-Min; Martinez, Eduardo; Beach, Geoffrey S. D.								Current-driven dynamics of chiral ferromagnetic domain walls								NATURE MATERIALS				12	7			611	616		10.1038/NMAT3675			JUL 2013	2013										829							WOS:000320720000015		
J	Lu, Ling; Joannopoulos, John D.; Soljacic, Marin								Topological photonics								NATURE PHOTONICS				8	11			821	829		10.1038/NPHOTON.2014.248			NOV 2014	2014										817							WOS:000344840400008		
J	Xiao, Di; Yao, Wang; Niu, Qian								Valley-contrasting physics in graphene: Magnetic moment and topological transport								PHYSICAL REVIEW LETTERS				99	23					236809	10.1103/PhysRevLett.99.236809			DEC 7 2007	2007										815							WOS:000251451000055		
