PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Jaksch, D; Zoller, P								The cold atom Hubbard toolbox								ANNALS OF PHYSICS				315	1			52	79		10.1016/j.aop.2004.09.010			JAN 2005	2005										672							WOS:000226780300003		
J	Nandkishore, Rahul; Huse, David A.								Many-Body Localization and Thermalization in Quantum Statistical Mechanics								Annual Review of Condensed Matter Physics				6				15	38		10.1146/annurev-conmatphys-031214-014726			2015	2015										661							WOS:000350979900002		
J	Tame, M. S.; McEnery, K. R.; Oezdemir, S. K.; Lee, J.; Maier, S. A.; Kim, M. S.								Quantum plasmonics								NATURE PHYSICS				9	6			329	340		10.1038/NPHYS2615			JUN 2013	2013										657							WOS:000319809900011		
J	Verstraete, F.; Murg, V.; Cirac, J. I.								Matrix product states, projected entangled pair states, and variational renormalization group methods for quantum spin systems								ADVANCES IN PHYSICS				57	2			143	224		10.1080/14789940801912366			2008	2008										655							WOS:000258610400001		
J	Daley, AJ; Kollath, C; Schollwock, U; Vidal, G								Time-dependent density-matrix renormalization-group using adaptive effective Hilbert spaces								JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT										PII S1742-5468(04)78828-7	10.1088/1742-5468/2004/04/P04005			APR 2004	2004										650							WOS:000227254900005		
J	Hartmann, Michael J.; Brandao, Fernando G. S. L.; Plenio, Martin B.								Strongly interacting polaritons in coupled arrays of cavities								NATURE PHYSICS				2	12			849	855		10.1038/nphys462			DEC 2006	2006										645							WOS:000242478000023		
J	Hammerer, Klemens; Sorensen, Anders S.; Polzik, Eugene S.								Quantum interface between light and atomic ensembles								REVIEWS OF MODERN PHYSICS				82	2			1041	1093		10.1103/RevModPhys.82.1041			APR 5 2010	2010										637							WOS:000278226300001		
J	McGloin, D; Dholakia, K								Bessel beams: diffraction in a new light								CONTEMPORARY PHYSICS				46	1			15	28		10.1080/0010751042000275259			JAN-FEB 2005	2005										636							WOS:000225863500002		
J	Verstraete, Frank; Wolf, Michael M.; Cirac, J. Ignacio								Quantum computation and quantum-state engineering driven by dissipation								NATURE PHYSICS				5	9			633	636		10.1038/NPHYS1342			SEP 2009	2009										625							WOS:000270095600012		
J	Sadler, L. E.; Higbie, J. M.; Leslie, S. R.; Vengalattore, M.; Stamper-Kurn, D. M.								Spontaneous symmetry breaking in a quenched ferromagnetic spinor Bose-Einstein condensate								NATURE				443	7109			312	315		10.1038/nature05094			SEP 21 2006	2006										618							WOS:000240622000040		
J	Georgescu, I. M.; Ashhab, S.; Nori, Franco								Quantum simulation								REVIEWS OF MODERN PHYSICS				86	1			153	185		10.1103/RevModPhys.86.153			MAR 10 2014	2014										617							WOS:000334223800001		
J	Lvovsky, Alexander I.; Sanders, Barry C.; Tittel, Wolfgang								Optical quantum memory								NATURE PHOTONICS				3	12			706	714		10.1038/nphoton.2009.231			DEC 2009	2009										616							WOS:000272302800012		
J	Xiang, Ze-Liang; Ashhab, Sahel; You, J. Q.; Nori, Franco								Hybrid quantum circuits: Superconducting circuits interacting with other quantum systems								REVIEWS OF MODERN PHYSICS				85	2			623	653		10.1103/RevModPhys.85.623			APR 9 2013	2013										615							WOS:000317462100001		
J	Calabrese, P; Cardy, J								Time dependence of correlation functions following a quantum quench								PHYSICAL REVIEW LETTERS				96	13					136801	10.1103/PhysRevLett.96.136801			APR 7 2006	2006										600							WOS:000236612400048		
J	Cheuk, Lawrence W.; Sommer, Ariel T.; Hadzibabic, Zoran; Yefsah, Tarik; Bakr, Waseem S.; Zwierlein, Martin W.								Spin-Injection Spectroscopy of a Spin-Orbit Coupled Fermi Gas								PHYSICAL REVIEW LETTERS				109	9					095302	10.1103/PhysRevLett.109.095302			AUG 27 2012	2012										597							WOS:000308015500010		
J	Pal, Arijeet; Huse, David A.								Many-body localization phase transition								PHYSICAL REVIEW B				82	17					174411	10.1103/PhysRevB.82.174411			NOV 9 2010	2010										589							WOS:000283995000004		
