PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Wang, K. F.; Liu, J. -M.; Ren, Z. F.								Multiferroicity: the coupling between magnetic and polarization orders								ADVANCES IN PHYSICS				58	4			321	448		10.1080/00018730902920554			2009	2009										990							WOS:000268619700001		
J	Cramer, Christopher J.; Truhlar, Donald G.								Density functional theory for transition metals and transition metal chemistry								PHYSICAL CHEMISTRY CHEMICAL PHYSICS				11	46			10757	10816		10.1039/b907148b			2009	2009										961							WOS:000271978500001		
J	Paglione, Johnpierre; Greene, Richard L.								High-temperature superconductivity in iron-based materials								NATURE PHYSICS				6	9			645	658		10.1038/NPHYS1759			SEP 10 2010	2010										960							WOS:000281540200011		
J	Schwarz, K; Blaha, P; Madsen, GKH								Electronic structure calculations of solids using the WIEN2k package for material sciences								COMPUTER PHYSICS COMMUNICATIONS				147	1-2			71	76	PII S0010-4655(02)00206-0	10.1016/S0010-4655(02)00206-0			AUG 1 2002	2002						Europhysics Conference on Computational Physics (CCP 2001)	SEP 05-08, 2001		AACHEN, GERMANY	950							WOS:000177824600013		
J	Stewart, G. R.								Superconductivity in iron compounds								REVIEWS OF MODERN PHYSICS				83	4			1589	1652		10.1103/RevModPhys.83.1589			DEC 13 2011	2011										941							WOS:000298133800001		
J	Reiher, M; Salomon, O; Hess, BA								Reparameterization of hybrid functionals based on energy differences of states of different multiplicity								THEORETICAL CHEMISTRY ACCOUNTS				107	1			48	55		10.1007/s00214-001-0300-3			DEC 2001	2001										930							WOS:000173203700008		
J	Hammer, B; Morikawa, Y; Norskov, JK								CO chemisorption at metal surfaces and overlayers								PHYSICAL REVIEW LETTERS				76	12			2141	2144		10.1103/PhysRevLett.76.2141			MAR 18 1996	1996										927							WOS:A1996TZ98400039		
J	Ravindran, P; Fast, L; Korzhavyi, PA; Johansson, B; Wills, J; Eriksson, O								Density functional theory for calculation of elastic properties of orthorhombic crystals: Application to TiSi2								JOURNAL OF APPLIED PHYSICS				84	9			4891	4904		10.1063/1.368733			NOV 1 1998	1998										916							WOS:000076428500036		
J	Hafner, Juergen								Ab-initio simulations of materials using VASP: Density-functional theory and beyond								JOURNAL OF COMPUTATIONAL CHEMISTRY				29	13			2044	2078		10.1002/jcc.21057			OCT 2008	2008										889							WOS:000258764600002		
J	Kim, B. J.; Jin, Hosub; Moon, S. J.; Kim, J. -Y.; Park, B. -G.; Leem, C. S.; Yu, Jaejun; Noh, T. W.; Kim, C.; Oh, S. -J.; Park, J. -H.; Durairaj, V.; Cao, G.; Rotenberg, E.								Novel J(eff)=1/2 Mott state induced by relativistic spin-orbit coupling in Sr2IrO4								PHYSICAL REVIEW LETTERS				101	7					076402	10.1103/PhysRevLett.101.076402			AUG 15 2008	2008										851							WOS:000258473800050		
