PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Folling, S; Gerbier, F; Widera, A; Mandel, O; Gericke, T; Bloch, I								Spatial quantum noise interferometry in expanding ultracold atom clouds								NATURE				434	7032			481	484		10.1038/nature03500			MAR 24 2005	2005										382							WOS:000227836000035		
J	Lin, Y. -J.; Compton, R. L.; Perry, A. R.; Phillips, W. D.; Porto, J. V.; Spielman, I. B.		BABAR Collaboration						Bose-Einstein Condensate in a Uniform Light-Induced Vector Potential								PHYSICAL REVIEW LETTERS				102	13					130401	10.1103/PhysRevLett.102.130401			APR 3 2009	2009										381							WOS:000264888600001		
J	Friedenauer, A.; Schmitz, H.; Glueckert, J. T.; Porras, D.; Schaetz, T.								Simulating a quantum magnet with trapped ions								NATURE PHYSICS				4	10			757	761		10.1038/nphys1032			OCT 2008	2008										381							WOS:000259686800006		
J	Troyer, M; Wiese, UJ								Computational complexity and fundamental limitations to fermionic quantum monte carlo simulations								PHYSICAL REVIEW LETTERS				94	17					170201	10.1103/PhysRevLett.94.170201			MAY 6 2005	2005										375							WOS:000228932200001		
J	Cooper, N. R.								Rapidly rotating atomic gases								ADVANCES IN PHYSICS				57	6			539	616	PII 906577892	10.1080/00018730802564122			2008	2008										366							WOS:000261660000001		
J	D'Alessio, Luca; Kafri, Yariv; Polkovnikov, Anatoli; Rigol, Marcos								From quantum chaos and eigenstate thermalization to statistical mechanics and thermodynamics								ADVANCES IN PHYSICS				65	3			239	362		10.1080/00018732.2016.1198134			2016	2016										361							WOS:000380760000001		
J	Eckardt, A; Weiss, C; Holthaus, M								Superfluid-insulator transition in a periodically driven optical lattice								PHYSICAL REVIEW LETTERS				95	26					260404	10.1103/PhysRevLett.95.260404			DEC 31 2005	2005										360							WOS:000234337900004		
J	Stamper-Kurn, Dan M.; Ueda, Masahito								Spinor Bose gases: Symmetries, magnetism, and quantum dynamics								REVIEWS OF MODERN PHYSICS				85	3			1191	1244		10.1103/RevModPhys.85.1191			JUL 26 2013	2013										359							WOS:000322535100001		
J	Garay, LJ; Anglin, JR; Cirac, JI; Zoller, P								Sonic analog of gravitational black holes in Bose-Einstein condensates								PHYSICAL REVIEW LETTERS				85	22			4643	4647		10.1103/PhysRevLett.85.4643			NOV 27 2000	2000										358							WOS:000165556600001		
J	Baranov, M. A.; Dalmonte, M.; Pupillo, G.; Zoller, P.								Condensed Matter Theory of Dipolar Quantum Gases								CHEMICAL REVIEWS				112	9			5012	5061		10.1021/cr2003568			SEP 2012	2012										356							WOS:000308575500008		
J	Hofstetter, W; Cirac, JI; Zoller, P; Demler, E; Lukin, MD								High-temperature superfluidity of fermionic atoms in optical lattices								PHYSICAL REVIEW LETTERS				89	22					220407	10.1103/PhysRevLett.89.220407			NOV 25 2002	2002										356							WOS:000179205100007		
J	Vitanov, NV; Fleischhauer, M; Shore, BW; Bergmann, K								Coherent manipulation of atoms and molecules by sequential laser pulses								ADVANCES IN ATOMIC MOLECULAR AND OPTICAL PHYSICS				46				55	190		10.1016/S1049-250X(01)80063-X			2001	2001										356							WOS:000172377400002		
